timestamp,value
0,1920
10,1911
20,1927
30,1923
40,1926
50,1905
60,1673
70,1953
80,1719
90,1974
100,1715
110,1982
120,1717
130,2003
140,1783
150,2123
160,1890
170,2128
180,1819
190,2021
200,1671
210,1975
220,1737
230,1986
240,1724
250,1954
260,1780
270,2024
280,1781
290,2017
300,1838
310,1987
320,1776
330,2331
340,3314
350,2640
360,1366
370,2074
380,1936
390,2061
400,1872
410,2096
420,1881
430,2101
440,1872
450,2139
460,1943
470,2178
480,1939
490,2178
500,2032
510,2246
520,2103
530,2322
540,2128
550,2394
560,2223
570,2435
580,2192
590,2359
600,2126
610,2207
620,1906
630,2016
640,1783
650,1937
660,1735
670,1889
680,1711
690,1906
700,1711
710,1936
720,1751
730,1942
740,1773
750,1936
760,1795
770,1967
780,1789
790,1948
800,1776
810,1953
820,1784
830,1942
840,1770
850,1947
860,1797
870,1938
880,1803
890,1947
900,1799
910,1971
920,1809
930,1968
940,1828
950,1966
960,1838
970,2011
980,1883
990,2035
1000,2033
1010,2033
1020,2021
1030,2030
1040,2035
1050,1922
1060,1825
1070,1939
1080,1806
1090,1942
1100,1826
1110,1951
1120,1872
1130,1968
1140,1863
1150,1954
1160,1830
1170,2205
1180,3148
1190,2896
1200,1371
1210,1918
1220,2000
1230,1989
1240,1907
1250,1995
1260,1942
1270,2003
1280,1955
1290,2032
1300,1967
1310,2027
1320,1992
1330,2112
1340,2047
1350,2161
1360,2142
1370,2229
1380,2176
1390,2400
1400,2283
1410,2340
1420,2288
1430,2323
1440,2224
1450,2155
1460,2042
1470,1957
1480,1872
1490,1849
1500,1799
1510,1818
1520,1799
1530,1825
1540,1805
1550,1842
1560,1826
1570,1847
1580,1847
1590,1872
1600,1849
1610,1884
1620,1836
1630,1872
1640,1840
1650,1847
1660,1872
1670,1885
1680,1861
1690,1867
1700,1869
1710,1872
1720,1881
1730,1867
1740,1897
1750,1883
1760,1886
1770,1879
1780,1894
1790,1872
1800,1921
1810,1889
1820,1904
1830,1886
1840,1931
1850,1887
1860,1921
1870,1872
1880,1968
1890,2065
1900,2064
1910,2001
1920,1994
1930,1865
1940,1929
1950,1819
1960,1930
1970,1837
1980,1903
1990,2078
2000,2077
2010,2071
2020,2073
2030,2069
2040,2065
2050,1872
2060,1977
2070,2384
2080,3620
2090,1963
2100,1593
2110,2013
2120,2042
2130,1885
2140,2011
2150,1923
2160,2035
2170,1973
2180,2057
2190,1967
2200,2091
2210,2013
2220,2112
2230,2026
2240,2176
2250,2107
2260,2241
2270,2177
2280,2323
2290,2239
2300,2385
2310,2283
2320,2396
2330,2220
2340,2306
2350,2068
2360,2094
2370,1799
2380,1947
2390,1771
2400,1874
2410,1722
2420,1872
2430,1755
2440,1872
2450,1761
2460,1894
2470,1768
2480,1921
2490,1776
2500,1949
2510,1779
2520,1931
2530,1778
2540,1952
2550,1786
2560,1961
2570,1776
2580,1955
2590,1757
2600,1943
2610,1779
2620,1963
2630,1775
2640,1958
2650,1780
2660,1985
2670,1791
2680,1995
2690,1801
2700,1982
2710,1830
2720,1996
2730,1801
2740,2033
2750,1906
2760,2190
2770,1907
2780,2099
2790,1903
2800,2026
2810,1783
2820,2075
2830,1803
2840,1996
2850,1770
2860,2005
2870,1811
2880,2038
2890,1838
2900,2070
2910,1873
2920,2045
2930,1866
2940,2704
2950,3425
2960,2000
2970,1529
2980,2160
2990,2069
3000,2067
3010,2103
3020,2070
3030,2064
3040,2018
3050,1895
3060,2172
3070,1938
3080,2187
3090,1980
3100,2213
3110,2032
3120,2235
3130,2087
3140,2362
3150,2112
3160,2437
3170,2215
3180,2473
3190,2227
3200,2411
3210,2098
3220,2256
3230,1895
3240,2094
3250,1759
3260,1987
3270,1728
3280,1957
3290,1711
3300,1957
3310,1714
3320,1981
3330,1732
3340,2030
3350,1744
3360,2015
3370,1759
3380,2025
3390,1796
3400,2015
3410,1762
3420,2029
3430,1723
3440,2038
3450,1753
3460,2014
3470,1758
3480,2025
3490,1817
3500,2011
3510,1767
3520,2021
3530,1741
3540,2057
3550,1774
3560,2037
3570,1830
3580,2195
3590,1904
3600,2149
3610,1829
3620,2054
3630,1771
3640,2031
3650,1749
3660,2015
3670,1711
3680,1989
3690,1783
3700,2038
3710,1804
3720,2093
3730,1838
3740,2079
3750,1777
3760,2442
3770,3314
3780,2559
3790,1360
3800,2131
3810,1915
3820,2143
3830,1861
3840,2132
3850,1889
3860,2163
3870,1893
3880,2190
3890,1931
3900,2239
3910,1967
3920,2288
3930,1961
3940,2330
3950,2075
3960,2401
3970,2130
3980,2476
3990,2057
4000,2044
4010,2047
4020,2057
4030,2064
4040,2037
4050,1924
4060,2110
4070,1723
4080,1948
4090,1687
4100,1907
4110,1690
4120,1937
4130,1680
4140,1956
4150,1714
4160,2000
4170,1678
4180,1984
4190,1997
4200,1991
4210,1983
4220,1971
4230,1981
4240,1975
4250,1760
4260,2039
4270,1767
4280,2032
4290,1762
4300,2036
4310,1742
4320,2031
4330,1776
4340,2032
4350,1797
4360,2054
4370,1795
4380,2045
4390,1808
4400,2068
4410,1831
4420,2175
4430,1961
4440,2183
4450,1914
4460,2114
4470,1783
4480,2046
4490,1762
4500,2043
4510,1765
4520,2032
4530,1739
4540,2053
4550,1810
4560,2066
4570,1776
4580,2037
4590,1802
4600,2227
4610,2787
4620,3431
4630,1394
4640,1926
4650,1968
4660,2103
4670,1821
4680,2095
4690,1877
4700,2135
4710,1936
4720,2160
4730,1942
4740,2188
4750,1983
4760,2226
4770,2011
4780,2293
4790,2047
4800,2341
4810,2215
4820,2387
4830,2205
4840,2468
4850,2214
4860,2444
4870,2150
4880,2302
4890,1944
4900,2112
4910,1795
4920,1952
4930,1711
4940,1898
4950,1753
4960,1902
4970,1688
4980,1905
4990,1744
5000,1743
5010,1741
5020,1738
5030,1738
5040,1735
5050,1723
5060,1931
5070,1763
5080,1925
5090,1761
5100,1922
5110,1754
5120,1940
5130,1744
5140,1943
5150,1749
5160,1963
5170,1772
5180,1978
5190,1761
5200,1959
5210,1785
5220,1968
5230,1789
5240,2016
5250,1905
5260,2100
5270,1915
5280,2071
5290,1808
5300,1933
5310,1744
5320,1964
5330,1770
5340,1947
5350,1772
5360,1937
5370,1799
5380,1986
5390,1805
5400,1977
5410,1813
5420,1954
5430,1997
5440,3033
5450,2991
5460,1569
5470,1713
5480,2127
5490,1892
5500,2013
5510,1887
5520,2029
5530,1892
5540,2057
5550,1915
5560,2064
5570,1965
5580,2085
5590,1987
5600,2138
5610,2023
5620,2209
5630,2128
5640,2288
5650,2191
5660,2343
5670,2247
5680,2365
5690,2230
5700,2273
5710,2059
5720,2078
5730,1869
5740,1920
5750,1757
5760,1841
5770,1725
5780,1813
5790,1744
5800,1826
5810,1735
5820,1840
5830,1781
5840,1857
5850,1793
5860,1888
5870,1804
5880,1888
5890,1815
5900,1888
5910,1803
5920,1885
5930,1791
5940,1881
5950,1819
5960,1895
5970,1797
5980,1857
5990,1844
6000,1893
6010,1883
6020,1885
6030,1856
6040,1883
6050,1936
6060,1913
6070,1813
6080,1853
6090,1840
6100,1840
6110,1810
6120,1862
6130,1840
6140,1897
6150,1871
6160,1906
6170,1872
6180,1867
6190,1861
6200,1941
6210,2467
6220,3536
6230,1903
6240,1573
6250,1965
6260,1988
6270,1909
6280,1967
6290,1936
6300,1999
6310,1947
6320,1957
6330,1959
6340,2002
6350,1999
6360,2039
6370,2058
6380,2091
6390,2116
6400,2160
6410,2203
6420,2224
6430,2285
6440,2288
6450,2320
6460,2271
6470,2233
6480,2159
6490,2054
6500,1922
6510,1898
6520,1855
6530,1763
6540,1779
6550,1789
6560,1746
6570,1770
6580,1780
6590,1808
6600,1770
6610,1838
6620,1793
6630,1850
6640,1792
6650,1866
6660,1823
6670,1869
6680,1814
6690,1862
6700,1794
6710,1861
6720,1811
6730,1779
6740,1799
6750,1875
6760,1821
6770,1885
6780,1873
6790,1907
6800,1814
6810,1886
6820,1877
6830,1974
6840,1958
6850,2006
6860,1907
6870,1925
6880,1783
6890,1900
6900,1779
6910,1886
6920,1779
6930,1879
6940,1796
6950,1901
6960,1810
6970,1934
6980,1831
6990,1300
7000,1296
7010,1297
7020,1297
7030,1303
7040,1303
7050,1711
7060,1980
7070,1991
7080,1842
7090,2001
7100,1900
7110,2023
7120,1915
7130,2032
7140,1923
7150,2052
7160,1969
7170,2112
7180,2000
7190,2164
7200,2067
7210,2256
7220,2167
7230,2345
7240,2233
7250,2398
7260,2263
7270,2395
7280,2181
7290,2215
7300,1999
7310,2043
7320,1797
